Name,User prompt if selected,Results
Abaloparatide acetate,,
Abatacept,,
Abemaciclib,,
Abiraterone acetate,,
Acalabrutinib,,
Acamprosate calcium,,
Acitazanolast hydrate,,
Aclidinium bromide,,
Acotiamide hydrochloride,,
Acyclovir,"Correct. Herpes zoster prophylaxis should be administered to all patients with MM receiving proteosome inhibitors, daratumumab, isatuximab, or elotuzumab.2",
Valacyclovir,"Correct. Herpes zoster prophylaxis should be administered to all patients with MM receiving proteosome inhibitors, daratumumab, isatuximab, or elotuzumab.3",
Adalimumab,,
Adapalene,,
Adefovir dipivoxil,,
Adenosine,,
Adsorbed diphtheria-purified pertussis-tetanus-inactivated polio combined vaccine,,
Adsorbed influenza virus vaccine (H5N1),,
Adsorbed influenza virus vaccine (prototype),,
Afatinib dimaleate,,
Aflibercept,,
Aflibercept beta (genetical recombination),,
Agalsidase alfa,,
Agalsidase beta,,
Albutrepenonacog alfa,,
Alectinib hydrochloride,,
Alemtuzumab,,
Alglucosidase alfa,,
Alirocumab,,
Aliskiren fumarate,,
Allergen extract (diagnostic),,
Allergen extract (therapeutic),,
Alogliptin benzoate,,
Ambrisentan,,
Amenamevir,,
Aminolevulinic acid hydrochloride,,
Amrubicin hydrochloride,,
Anagliptin,,
Anagrelide hydrochloride hydrate,,
Anamorelin hydrochloride,,
Anastrozole,,
"Anti-human thymocyte immunoglobulin, rabbit",,
Antithrombin gamma,,
Apalutamide,,
Apixaban,,
Apomorphine hydrochloride,,
Apremilast,,
Aprepitant,,
Aripiprazole,,
Artemether and lumefantrine,,
Asenapine maleate,,
Asfotase alfa,,
Aspirin,"Incorrect. Aspirin (81-325 mg daily) is recommended for patients with MM receiving imide-based therapy, provided they do not have increased baseline risk of thrombosis.2",
Asunaprevir,,
Atazanavir sulfate,,
Atezolizumab (genetical recombination),,
Atomoxetine hydrochloride,,
Atorvastatin calcium hydrate,,
Atovaquone,,
Atovaquone and proguanil hydrochloride,,
Avelumab (genetical recombination),,
Axicabtagene ciloleucel,,
Axitinib,,
Azacitidine,,
Azelnidipine,,
Azilsartan,,
Azithromycin hydrate,,
Baloxavir marboxil,,
Baricitinib,,
Basiliximab,,
Bazedoxifene acetate,,
Bedaquiline fumarate,,
Belimumab (genetical recombination),,
Bendamustine hydrochloride,,
Benralizumab (genetical recombination),,
Benzoyl peroxide,,
Beperminogene perplasmid,,
Bepotastine besylate,,
Berotralstat hydrochloride,,
Betaine,,
Bevacizumab,,
Bexarotene,,
Bezlotoxumab (genetical recombination),,
Biapenem,,
"Bictegravir, embitcitabine and tenofovir alafenamide",,
Bilastine,,
Bimatoprost,,
Binimetinib,,
Bisoprolol,,
Bixalomer,,
Blinatumomab (genetical recombination),,
Blonanserin,,
Borofalan (10B),,
Bortezomib,,
Bosentan,,
Bosutinib hydrate,,
Brentuximab vedotin,,
Brexpiprazole,,
Brigatinib,,
Brimonidine tartrate,,
Brinzolamide,,
Brodalumab,,
Brolucizumab,,
Bromfenac sodium,,
Bupivacaine hydrochloride,,
Buprenorphine,,
Burosumab (genetical recombination),,
Cabazitaxel acetonate,,
Cabozantinib malate,,
Calcipotriene,,
Calcium polycarbophil,,
Canagliflozin,,
Canakinumab,,
Capecitabine,,
Capmatinib hydrochloride hydrate,,
Carfilzomib,,
Carglumic acid,,
Carmustine,,
Caspofungin acetate,,
Catridecacog,,
Ceftolozane sulfate and tazobactam sodium,,
Celecoxib,,
Ceritinib,,
Cerliponase alfa (genetical recombination),,
Certolizumab pegol,,
Cetilistat,,
Cetrorelix acetate,,
Cetuximab,,
Cetuximab sarotalocan sodium (genetical recombination),,
Cevimeline hydrochloride,,
Choriogonadotropin alfa,,
Ciclesonide,,
Cinacalcet hydrochloride,,
Cladribine,,
Clobazam,,
Clofarabine,,
Clopidogrel bisulfate,,
Clozapine,,
Collagenase clostridium histolyticum,,
Condoliase,,
Crisantaspase,,
Crizotinib,,
Cysteamine bitartrate,,
Dabigatran etexilate mesylate,,
Dabrafenib mesylate,,
Daclatasvir dihydrochloride,,
"Daclatasvir, asunaprevir and beclabuvir",,
Dacomitinib hydrate,,
Damoctocog alfa pegol (genetical recombination),,
Danaparoid sodium,,
Dapagliflozin propanediol,,
Daprodustat,,
Daptomycin,,
